# klaverjas spoor; spellen=200; zaad=6
21;5;0;3;1;A;9
21;5;1;4;0;9;53
21;5;2;1;1;T;36
21;5;3;2;1;7;3
21;6;0;1;3;A;58
21;6;1;4;2;V;53
21;6;2;3;1;8;53
21;6;3;2;3;T;38
21;7;0;3;0;H;9
21;7;1;4;0;V;40
21;7;2;1;2;8;53
21;7;3;2;2;7;53
21;8;0;3;0;T;9
21;8;1;4;1;V;53
21;8;2;1;2;9;53
21;8;3;2;1;B;53
21;=;3;94;58;10;0
22;1;0;3;0;7;7
22;1;1;4;3;9;53
22;1;2;1;0;9;6
22;1;3;2;0;V;3
22;2;0;1;0;B;58
22;2;1;4;1;V;53
22;2;2;3;2;B;69
22;2;3;2;0;8;3
22;3;0;3;3;7;13
22;3;1;4;3;A;16
22;3;2;1;3;B;23
22;3;3;2;1;H;68
22;4;0;4;2;A;9
22;4;1;3;3;8;53
22;4;2;2;2;8;4
22;4;3;1;2;V;38
22;5;0;2;1;A;8
22;5;1;3;1;7;34
22;5;2;4;2;H;53
22;5;3;1;1;8;3
22;6;0;2;0;A;58
22;6;1;3;1;B;53
22;6;2;4;2;T;52
22;6;3;1;0;H;38
22;7;0;4;2;7;9
22;7;1;3;3;V;53
22;7;2;2;2;9;36
22;7;3;1;1;9;53
22;8;0;4;3;T;9
22;8;1;3;1;T;53
22;8;2;2;0;T;35
22;8;3;1;3;H;38
22;=;0;42;110;0;10
23;1;0;4;3;7;7
23;1;1;3;3;9;19
23;1;2;2;3;B;6
23;1;3;1;3;H;3
23;2;0;2;1;A;8
23;2;1;3;1;8;34
23;2;2;4;2;H;69
23;2;3;1;1;7;3
23;3;0;2;1;T;8
23;3;1;3;1;9;40
23;3;2;4;1;V;36
23;3;3;1;1;H;38
23;4;0;4;0;B;5
23;4;1;3;3;V;65
23;4;2;2;0;8;34
23;4;3;1;0;7;32
23;5;0;3;2;A;9
23;5;1;4;0;V;53
23;5;2;1;2;8;4
23;5;3;2;2;T;38
23;6;0;3;3;A;57
23;6;1;4;1;B;53
23;6;2;1;3;8;36
23;6;3;2;3;T;38
23;7;0;1;2;V;8
23;7;1;4;0;A;53
23;7;2;3;2;7;22
23;7;3;2;0;H;53
23;8;0;3;2;9;13
23;8;1;4;2;B;40
23;8;2;1;0;9;53
23;8;3;2;0;T;68
23;=;3;70;82;0;10
24;1;0;1;0;V;7
24;1;1;4;0;7;40
24;1;2;3;0;B;6
24;1;3;2;0;8;3
24;2;0;3;1;B;62
24;2;1;4;2;8;53
24;2;2;1;1;H;6
24;2;3;2;1;A;46
24;3;0;4;2;A;9
24;3;1;3;2;V;40
24;3;2;2;1;V;68
24;3;3;1;2;9;3
24;4;0;2;1;8;5
24;4;1;3;1;T;40
24;4;2;4;1;9;36
24;4;3;1;3;B;53
24;5;0;3;0;T;57
24;5;1;4;3;8;53
24;5;2;1;0;9;67
24;5;3;2;0;H;38
24;6;0;1;2;T;8
24;6;1;4;3;T;53
24;6;2;3;2;7;36
